"gridg0","group.id","month","timegroups"
"53493","S24194265",1,"before 2000"
"54134","S38900332",2,"before 2000"
"54134","S38900331",2,"before 2000"
"224526","S41447898",2,"before 2000"
"224526","S41445447",2,"before 2000"
"224526","S41442596",2,"before 2000"
"294658","S37874850",2,"before 2000"
"294658","S37874409",2,"before 2000"
"294658","S37868489",2,"before 2000"
"294658","S41453151",2,"before 2000"
"294658","S41449763",2,"before 2000"
"294658","S7766816",2,"before 2000"
"288004","S13607315",2,"before 2000"
"277735","S41475881",2,"before 2000"
"277735","S41459855",2,"before 2000"
"53493","S24555657",2,"before 2000"
"53493","S24555578",2,"before 2000"
"53493","S24471639",2,"before 2000"
"53493","S24429003",2,"before 2000"
"334973","S43658341",2,"before 2000"
"329788","S37881065",2,"before 2000"
"329788","S37880418",2,"before 2000"
"329788","S7814368",2,"before 2000"
"329788","S37881923",2,"before 2000"
"289076","G2762833",2,"before 2000"
"349901","S14051785",3,"before 2000"
"52834","S57193757",3,"before 2000"
"52835","S38900337",3,"before 2000"
"52834","S57187967",3,"before 2000"
"52835","S38900336",3,"before 2000"
"294658","S12570041",3,"before 2000"
"294658","S12570080",3,"before 2000"
"53493","S24557773",3,"before 2000"
"53493","S57333914",3,"before 2000"
"53493","S24555993",3,"before 2000"
"53493","S24556156",3,"before 2000"
"53493","S24557588",3,"before 2000"
"53493","S24557341",3,"before 2000"
"40500","S57340779",4,"before 2000"
"222578","S25915234",4,"before 2000"
"222578","S25926253",4,"before 2000"
"224526","S25976026",4,"before 2000"
"224526","S25915439",4,"before 2000"
"53493","S24557882",4,"before 2000"
"87959","G2657290",5,"before 2000"
"87959","G2657300",5,"before 2000"
"87959","G2640479",5,"before 2000"
"53493","S24594235",5,"before 2000"
"53493","S24594276",5,"before 2000"
"51548","S24705381",5,"before 2000"
"87959","G2657301",6,"before 2000"
"53493","S24594314",6,"before 2000"
"53493","S24594357",6,"before 2000"
"53493","S24594395",6,"before 2000"
"86659","S36507077",7,"before 2000"
